樣本數 53 個(球場×類別)  來源數 4
球場          類別                 惠豐       公道       悅來      168     極差%      共識中位
台北          團體             1310.0    830.0   1265.0   1310.0    44.9    1287.5
幸福          眷屬              255.0    260.0    285.0    235.0    19.2     257.5
翡翠          個人                  —      6.0      6.5      7.0    15.4       6.5
八里國際        個人              187.5    162.5    180.0    180.0    14.3     180.0
龍潭          個人(平日)          310.0    340.0    345.0    342.5    10.7     341.2
龍潭          個人(正式)          437.5    440.0    482.5    440.0     9.8     440.0
大屯          股東+眷屬           447.5    450.0    440.0    485.0     9.7     448.8
立益關西        個人              267.5    245.0    270.0        —     9.7     267.5
嘉光          股東個人              6.5      6.0      6.0        —     8.0       6.0
統帥          眷屬               47.5     48.0     49.5     51.0     7.1      48.8
山溪地         個人              197.5    210.0    200.0        —     6.1     200.0
楊梅          股東個人            247.5    260.0    255.0    250.0     4.9     252.5
桃園          個人              199.0    205.0    209.0    200.0     4.9     202.5
東華          個人(二手)          106.0    110.0    105.0    105.0     4.7     105.5
美麗華         個人             1195.0   1250.0   1200.0   1200.0     4.5    1200.0
全國          個人              279.0    290.0    287.5        —     3.9     287.5
大崗山         個人              405.0    420.0    405.0        —     3.6     405.0
斑芝花         個人               41.5     41.0     42.5        —     3.6      41.5
第一          股東+眷屬           495.0    490.0    487.5    505.0     3.5     492.5
台南新化        個人              445.0    460.0    445.0        —     3.3     445.0
黃金海岸        個人               74.5     77.0     75.5     75.5     3.3      75.5
嘉南          個人              377.5    390.0    380.0        —     3.3     380.0
台灣老淡水       眷屬              935.0    910.0    940.0    920.0     3.2     927.5
旭陽          個人              281.0    290.0    282.5        —     3.2     282.5
南寶          個人              281.0    290.0    282.5        —     3.2     282.5
台灣老淡水       個人              732.5    735.0    755.0    750.0     3.0     742.5
統帥          個人               33.5     33.0     34.0     34.0     3.0      33.8
霧峰          個人              171.0    176.0    174.0        —     2.9     174.0
礁溪          個人              243.5    250.0    243.0        —     2.8     243.5
第一          股東個人            317.5    320.0    315.0    312.5     2.4     316.2
美麗華         眷屬             1465.0   1500.0   1500.0   1480.0     2.4    1490.0
濱海          個人               64.5     65.0     66.0     65.0     2.3      65.0
清泉崗         個人              332.5    340.0    332.5        —     2.2     332.5
再興          個人              607.5    610.0    620.0        —     2.0     610.0
南一          個人              617.5    630.0    620.0        —     2.0     620.0
長庚          個人              637.5    650.0    640.0    650.0     1.9     645.0
彰化          股東個人            657.5    670.0    662.5        —     1.9     662.5
黃金海岸        眷屬              109.0    110.0    111.0    110.0     1.8     110.0
大屯          股東個人            354.0    360.0    355.0    355.0     1.7     355.0
南峰          個人              442.5    450.0    447.5        —     1.7     447.5
台北          特別個人            365.0    365.0    365.0    370.0     1.4     365.0
觀音山         個人              197.5    200.0    200.0        —     1.3     200.0
幸福          個人              197.5    200.0    200.0    200.0     1.3     200.0
永漢          個人(200保)        662.5    670.0    670.0    670.0     1.1     670.0
花蓮          基本個人             44.5     45.0     45.0        —     1.1      45.0
台豐          股東個人            329.0    330.0    332.5        —     1.1     330.0
大溪          股東+眷屬           867.5    870.0    875.0    870.0     0.9     870.0
信誼          個人              615.0    615.0    610.0        —     0.8     615.0
豐原          個人              397.5    400.0    400.0        —     0.6     400.0
東方          個人             1690.0   1700.0   1690.0   1700.0     0.6    1695.0
東方          眷屬             2190.0   2200.0   2200.0   2200.0     0.5    2200.0
台中國際        股東個人            557.5    560.0    560.0        —     0.4     560.0
松柏嶺         股東個人            279.0    280.0    280.0        —     0.4     280.0

極差率 中位數=2.99%  平均=4.78%
極差率 <=2% 的比例: 34%
極差率 >5% 的項目數: 11
